url,language,speaker_id,domain,gender,location,duration,age
https://www.youtube.com/watch?v=8pyD0q0O0bc,Nepali,Null,Finance,Male,kathmandu,00:28:27,Null
https://www.youtube.com/watch?v=XRdRkKhUMyk,Nepali,Null,Finance,Male,kathmandu,00:32:21,Null
https://www.youtube.com/watch?v=12HjJ1CWX9Q,Nepali,Null,Finance,Male,kathmandu,00:19:18,Null
https://www.youtube.com/watch?v=6CO6BCyBBb0,Nepali,Null,Finance,Male,kathmandu,00:15:13,Null
https://www.youtube.com/watch?v=e1aOCeNbeXA,Nepali,Null,Finance,Male,kathmandu,00:21:29,Null
https://www.youtube.com/watch?v=9YfrhFwDiQg,Nepali,Null,Finance,Male,kathmandu,00:26:06,Null
https://www.youtube.com/watch?v=kD0Y66sWVqc,Nepali,Null,Finance,Male,kathmandu,00:30:58,Null
https://www.youtube.com/watch?v=tYDdf00-UM4,Nepali,Null,Finance,Male,kathmandu,00:39:03,Null
https://www.youtube.com/watch?v=MbFADp0tnQI,Nepali,Null,Finance,Male,kathmandu,00:36:16,Null
https://www.youtube.com/watch?v=Il7EIOTP8bE,Nepali,Null,Finance,Male,kathmandu,00:30:25,Null
https://www.youtube.com/watch?v=p14MEfWtGn0,Nepali,Null,Finance,Male,kathmandu,00:35:03,Null
https://www.youtube.com/watch?v=GaOPaESW_Ac,Nepali,Null,Finance,Male,kathmandu,00:36:10,Null
https://www.youtube.com/watch?v=c_X73FqbsVw,Nepali,Null,Finance,Male,kathmandu,00:30:29,Null
https://www.youtube.com/watch?v=ZkmhQepifNQ,Nepali,Null,Finance,Male,kathmandu,00:30:20,Null
https://www.youtube.com/watch?v=mkgGW7C24c8,Nepali,Null,Finance,Male,kathmandu,00:25:37,Null
https://www.youtube.com/watch?v=RQOE2rcywnE,Nepali,Null,Finance,Male,kathmandu,00:25:40,Null
https://www.youtube.com/watch?v=iRREj39Oi3A,Nepali,Null,Finance,Male,kathmandu,00:24:27,Null
https://www.youtube.com/watch?v=60sItGm2CFM,Nepali,Null,Finance,Male,kathmandu,00:34:04,Null
https://www.youtube.com/watch?v=BI8SwGahfnk,Nepali,Null,Finance,Male,kathmandu,00:57:36,Null
https://www.youtube.com/watch?v=diLmgvyJqG0,Nepali,Null,Finance,Male,kathmandu,00:32:48,Null
https://www.youtube.com/watch?v=T2p9zDsb8FE,Nepali,Null,Finance,Male,kathmandu,00:38:32,Null
https://www.youtube.com/watch?v=1_cx9_60_9g,Nepali,Null,Finance,Male,kathmandu,00:31:49,Null
https://www.youtube.com/watch?v=2ojPtShwOv4,Nepali,Null,Finance,Male,kathmandu,00:28:38,Null
https://www.youtube.com/watch?v=ca3p29t2E-E,Nepali,Null,Finance,Male,kathmandu,00:43:55,Null
https://www.youtube.com/watch?v=O4HVKTMTV0Y,Nepali,Null,Finance,Male,kathmandu,00:34:50,Null
https://www.youtube.com/watch?v=sPcn0U4_0JA,Nepali,Null,Finance,Male,kathmandu,00:35:38,Null
https://www.youtube.com/watch?v=rZD5CTM_Lag,Nepali,Null,Finance,Male,kathmandu,00:37:38,Null
https://www.youtube.com/watch?v=IwxtWULc8Dw,Nepali,Null,Finance,Male,kathmandu,00:53:26,Null
https://www.youtube.com/watch?v=1nk7CICGe5s,Nepali,Null,Finance,Male,kathmandu,00:45:13,Null
https://www.youtube.com/watch?v=XC2HH-RPO1E,Nepali,Null,Finance,Male,kathmandu,00:44:53,Null
https://www.youtube.com/watch?v=RqyuiffBh9Q,Nepali,Null,Finance,Male,kathmandu,00:40:30,Null
https://www.youtube.com/watch?v=rQyrN8CVWJo,Nepali,Null,Finance,Male,kathmandu,00:42:17,Null
https://www.youtube.com/watch?v=jxqmfrdI_SM,Nepali,Null,Finance,Male,kathmandu,00:39:52,Null
https://www.youtube.com/watch?v=TcCpsrCIOB0,Nepali,Null,Finance,Male,kathmandu,00:37:38,Null
https://www.youtube.com/watch?v=QL4y472y_No,Nepali,Null,Finance,Male,kathmandu,00:33:55,Null
https://www.youtube.com/watch?v=9gRcWzZJl7I,Nepali,Null,Finance,Male,kathmandu,00:35:34,Null
https://www.youtube.com/watch?v=5ypAlvuyNnw,Nepali,Null,Finance,Male,kathmandu,00:34:27,Null
https://www.youtube.com/watch?v=67zP9nvlhAA,Nepali,Null,Finance,Female,kathmandu,00:30:49,Null
https://www.youtube.com/watch?v=bfrHmrBY358,Nepali,Null,Finance,Male,kathmandu,00:33:13,Null
https://www.youtube.com/watch?v=UJHHqU2ubP0,Nepali,Null,Finance,Male,kathmandu,00:36:03,Null
https://www.youtube.com/watch?v=KRJPEJmlGMM,Nepali,Null,Finance,Male,kathmandu,00:36:03,Null
https://www.youtube.com/watch?v=N2_D0s4K0tE,Nepali,Null,Finance,Male,kathmandu,00:42:33,Null
https://www.youtube.com/watch?v=bw10oat-zwI,Nepali,Null,Finance,Male,kathmandu,00:35:37,Null
https://www.youtube.com/watch?v=d-kKT0VT2RM,Nepali,Null,Finance,Male,kathmandu,00:42:33,Null
https://www.youtube.com/watch?v=uFiACN1kgWA,Nepali,Null,Finance,Male,kathmandu,00:43:20,Null
https://www.youtube.com/watch?v=074Up24lNP4,Nepali,Null,Finance,Male,kathmandu,00:27:39,Null
https://www.youtube.com/watch?v=Ca9yH0QGBug,Nepali,Null,Finance,Male,kathmandu,00:35:13,Null
https://www.youtube.com/watch?v=FWEUa816oIg,Nepali,Null,Finance,Male,kathmandu,00:31:46,Null
https://www.youtube.com/watch?v=S_fJMViqijc,Nepali,Null,Finance,Male,kathmandu,00:47:48,Null
https://www.youtube.com/watch?v=9R4SRlyvmvI,Nepali,Null,Finance,Male,kathmandu,00:35:02,Null
https://www.youtube.com/watch?v=k95ZPN9XG0o,Nepali,Null,Finance,Male,kathmandu,00:52:58,Null
https://www.youtube.com/watch?v=kjkOoi6iHVQ,Nepali,Null,Finance,Male,kathmandu,00:37:25,Null
https://www.youtube.com/watch?v=uePU72GYuh8,Nepali,Null,Finance,Male,kathmandu,00:35:46,Null
https://www.youtube.com/watch?v=g3R5_7H_Fu4,Nepali,Null,Finance,Male,kathmandu,00:28:32,Null
https://www.youtube.com/watch?v=ht-_xMNsCeo,Nepali,Null,Finance,Male,kathmandu,00:39:32,Null
https://www.youtube.com/watch?v=99aiuIOwJg8,Nepali,Null,Finance,Male,kathmandu,00:22:47,Null
https://www.youtube.com/watch?v=QCFFrTmntXA,Nepali,Null,Finance,Male,kathmandu,00:41:19,Null
https://www.youtube.com/watch?v=g2oachkL09k,Nepali,Null,Finance,Male,kathmandu,00:57:43,Null
https://www.youtube.com/watch?v=4QOOedh74hg,Nepali,Null,Finance,Male,kathmandu,01:13:08,Null
https://www.youtube.com/watch?v=yrUQz2sUE1Y,Nepali,Null,Finance,Male,kathmandu,01:01:19,Null
https://www.youtube.com/watch?v=ck6oEEbeCqU,Nepali,Null,Finance,Male,kathmandu,00:41:48,Null
https://www.youtube.com/watch?v=eJTlbQPhAUQ,Nepali,Null,Finance,Male,kathmandu,00:47:34,Null
https://www.youtube.com/watch?v=cl15MyneGjg,Nepali,Null,Finance,Male,kathmandu,00:54:03,Null
https://www.youtube.com/watch?v=pjJ1LCFtNAs,Nepali,Null,Finance,Male,kathmandu,00:42:13,Null
https://www.youtube.com/watch?v=3LFBothodJ0,Nepali,Null,Finance,Male,kathmandu,00:39:38,Null
https://www.youtube.com/watch?v=_HJ37fy6Reo,Nepali,Null,Finance,Male,kathmandu,00:29:27,Null
https://www.youtube.com/watch?v=m3U2r98xMYY,Nepali,Null,Finance,Male,kathmandu,00:17:34,Null
https://www.youtube.com/watch?v=Jgclq_SGhVA,Nepali,Null,Finance,Male,kathmandu,01:33:22,Null
https://www.youtube.com/watch?v=WL35HZ0EfUc,Nepali,Null,Finance,Male,kathmandu,00:23:41,Null
https://www.youtube.com/watch?v=X7emHw4V9XY,Nepali,Null,Finance,Male,kathmandu,00:45:44,Null
https://www.youtube.com/watch?v=QMdI3lSH-uI,Nepali,Null,Finance,Male,kathmandu,01:25:18,Null
https://www.youtube.com/watch?v=atuNOs3GRAY,Nepali,Null,Finance,Female,kathmandu,00:32:17,Null
https://www.youtube.com/watch?v=iOYvmclZvQY,Nepali,Null,Finance,Male,kathmandu,00:36:37,Null
https://www.youtube.com/watch?v=alrJZiYI-xk,Nepali,Null,Finance,Male,kathmandu,00:24:02,Null
https://www.youtube.com/watch?v=Wa3iDhfB5l4,Nepali,Null,Finance,Male,kathmandu,00:34:07,Null
https://www.youtube.com/watch?v=wJ-Dfpi4PFU,Nepali,Null,Agriculture,Male,kathmandu,00:02:52,Null
https://www.youtube.com/watch?v=0pugxQTYjGo,Nepali,Null,Agriculture,Male,kathmandu,00:01:04,Null
https://www.youtube.com/watch?v=UqTvBwJ5jY4,Nepali,Null,Agriculture,Male,kathmandu,00:21:29,Null
https://www.youtube.com/watch?v=GxdYjuTn8AM,Nepali,Null,Agriculture,Male,kathmandu,00:18:30,Null
https://www.youtube.com/watch?v=JECg_baUruw,Nepali,Null,Agriculture,Male,kathmandu,00:20:46,Null
