url,language,speaker_id,domain,gender,location,duration,age
https://youtu.be/_lefqPYF_eM?si=t6z0Drd_24c6a2E8,Maithili,Null,Health,Male,Janakpur,12 Min 24 Sec,45
https://youtu.be/LZ69xHaWyWs?si=1gyT_yg3WepO_SAP,Maithili,Null,Health,Male,Janakpur,14 Min 36 Sec,45
https://youtu.be/i2OqNLWDJ8g?si=n7c6iYnq_P-AFLjb,Maithili,Null,Health,Female/Male,Janakpur,19 Min 4 sec,35
https://youtu.be/Bv3G1SBkb2g?si=LmEgqpD6Y8E94tHC,Maithili,Null,Health,Female/Male,Janakpur,36 Min 36 Min,35
https://youtu.be/UYWNYGsiiy0?si=JjSDOYImOppMvr_r,Maithili,Null,Health,Male,Janakpur,18 Min 4 Sec,45
https://youtu.be/q3nplQi1YkM?si=9xws7fl3H-2tKQN_,Maithili,Null,Health,Female/Male,Janakpur,38 min 4 sec,35
https://youtu.be/93m8kpP3P1o?si=uIJCj6FWlTUpjWk3,Maithili,Null,Health,Female/Male,Janakpur,25 Min 21 Sec,35
https://youtu.be/TaGVNjopxnc?si=2mL3fQV5mg_QfK-Z,Maithili,Null,Life Story,Female,Janakpur,27 Min 20 Sec,35
https://youtu.be/xDVx02xdLJs?si=WYKUnK63ohwpYoui,Maithili,Null,General,Female/Male,Mukhiyapatti-Musharniya-VDC,46 Min 3 sec,35
https://youtu.be/ZJYnDjNDJxA?si=l8U46-um3qSV3rIv,Maithili,Null,General,Female/Male,Janakpur,44 Min 30 sec,35
https://youtu.be/BGBBLlWCdfk?si=fzCblGZVvx8uVwfO,Maithili,Null,Health,Male/Female,Janakpur,15 Min 36 Sec,40
https://youtu.be/_ZS1Z2VHdW8?si=wg_YDGsxV8fhGmDl,Maithili,Null,General,Female/Male,Madhesh ,28 Min 29 Sec,35
https://youtu.be/-EH0RATF8s8?si=8etQXvm4C5R7agP5,Maithili,Null,Health,Male,Janakpur,21 Min 12 Sec,40
https://youtu.be/ALhgaAU3SOA?si=O3Tmm8PD3mL0qzwW,Maithili,Null,General,Female/Male,Janakpur,34 Min 16 Sec,35
https://youtu.be/GBTirNRqAGQ?si=V2zpQduo0AfFAc6T,Maithili,Null,General,Female/Male,Janakpur,39 Min 54 Sec,35
https://youtu.be/9MeOCKTPbN8?si=OhBDLh8pFwzW_ju_,Maithili,Null,Health,Female/Male,Janakpur,40 Min 1 sec,35
https://youtu.be/67QUjAeE_u4?si=Zap-83acmDyp9arM,Maithili,Null,General,Female/Male,Jaleshwor,29 Min 42 Sec,35
https://youtu.be/BqhsOxUWqqQ?si=oxfUEU78J3Ue9SM1,Maithili,Null,General,Female/Male,Janakpur,20 Min 53 Sec,35
https://youtu.be/-ksooy2cVfU?si=MluVWHoUGveWsb3S,Maithili,Null,General,Female/Male,Janakpur,25 Min 4 Sec,35
https://youtu.be/NsodI8BKd_s?si=sc1e5hGML4kPqSnp,Maithili,Null,General,Female/Male,Janakpur,34 Min 29 Sec,35
https://youtu.be/_YJXrEHtvrk?si=8hWj3B0o1Wbu4EeS,Maithili,Null,General,Female/Male,Janakpur,50 Min 1 Sec,35
https://youtu.be/3cmDNXGVuZY?si=nLkXX1dbTI6zBRZS,Maithili,Null,General,Female/Male,Janakpur,24 Min 44 Sec,35
https://youtu.be/1hFS4fk38A0?si=sbEX-TmB1SbTMi-j,Maithili,Null,Education,Female/Male,Janakpur,40 Min 24 Sec,35
